generation,prey_fitness,predator_fitness,num_alive_end,avg_bb_size,var_bb_size,avg_shortest_dist,swarm_density_count,prey_neurons_connected_prey_retina,prey_neurons_connected_predator_retina,predator_neurons_connected_prey_retina,mutual_info
1,71371.000000,28629.000000,24,61032.700750,696027.985166,1349.536142,0.000000,5,4,1,0.001171
1,67499.000000,32501.000000,18,64387.619937,1496826.448220,1505.112457,0.000000,5,4,1,0.002155
2,72432.000000,27568.000000,27,60046.554768,1802057.084982,1146.462018,0.000000,5,4,1,0.001395
3,70424.000000,29576.000000,25,61365.351397,582963.783833,1336.281974,0.000000,5,3,1,0.002139
4,68636.000000,31364.000000,24,60398.691266,2005970.386250,1286.693916,0.000000,5,3,1,0.001276
5,79622.000000,20378.000000,28,63553.845481,0.000000,1257.370793,0.000000,5,3,1,0.000652
6,66777.000000,33223.000000,23,63459.467545,311672.329657,1420.491160,0.000000,5,3,1,0.002342
7,81304.000000,18696.000000,36,63962.633844,137200.120225,1229.455086,0.000000,5,3,1,0.001515
8,67068.000000,32932.000000,21,52821.982458,55044069.829380,1129.101627,0.000000,5,3,1,0.002613
9,70432.000000,29568.000000,23,61624.876033,899160.531123,1266.449326,0.000000,5,3,1,0.001470
10,67727.000000,32273.000000,20,61119.897263,3209178.977478,1648.531470,0.000000,5,3,1,0.001845
11,73343.000000,26657.000000,29,63287.601290,128.391516,1150.059504,0.000000,5,3,1,0.002867
12,72694.000000,27306.000000,20,60916.123445,3565804.722624,1182.889127,0.000000,5,3,1,0.001513
13,68919.000000,31081.000000,19,59488.064816,2546437.393912,1273.233538,0.000000,5,3,1,0.001714
14,72251.000000,27749.000000,25,63695.716690,345538.998635,1345.712440,0.000000,5,4,2,0.000570
15,100000.000000,1.000000,50,61124.654315,0.000000,1083.429824,0.000000,5,4,1,-0.000000
16,72566.000000,27434.000000,25,62761.071264,4027253.366502,1290.086615,0.000000,5,4,1,0.004577
17,75158.000000,24842.000000,27,61908.605703,25581.658321,1347.577650,0.000000,5,4,1,0.000716
18,64518.000000,35482.000000,19,60650.910123,2418238.001777,1461.135264,0.000000,5,4,2,0.001898
19,70833.000000,29167.000000,27,64788.578298,29.065843,1253.674974,0.000000,5,4,2,0.001702
20,100000.000000,1.000000,50,64445.201845,0.000000,1135.288474,0.000000,5,4,1,-0.000000
21,72161.000000,27839.000000,25,60800.650072,4132692.939126,1243.851254,0.000000,5,4,2,0.001259
22,68734.000000,31266.000000,20,54893.676866,69455863.652628,1143.221841,0.000000,5,4,1,0.003773
23,64374.000000,35626.000000,21,58561.520358,14026695.772320,1558.260170,0.000000,5,4,1,0.004467
24,73092.000000,26908.000000,24,61598.766268,2284294.374406,1206.445297,0.000000,5,4,1,0.001413
25,72165.000000,27835.000000,25,60460.595676,12548912.465970,1313.449936,0.000000,5,4,1,0.002206
26,72258.000000,27742.000000,22,62182.826966,1172671.570944,1375.348636,0.000000,5,4,1,0.002790
27,72897.000000,27103.000000,27,63274.362203,132746.546005,1325.432041,0.000000,5,4,1,0.001140
28,70734.000000,29266.000000,21,61442.428604,1898729.532082,1320.123855,0.000000,5,4,1,0.003674
29,71802.000000,28198.000000,23,61233.527962,210062.072541,1185.011421,0.000000,6,4,1,0.001655
30,70756.000000,29244.000000,25,62922.555659,544579.170569,1245.843785,0.000000,6,4,1,0.004110
31,72419.000000,27581.000000,25,62661.879332,262822.536885,1352.258822,0.000000,5,2,1,0.003371
32,77046.000000,22954.000000,26,61563.420006,1427604.870712,1342.019029,0.000000,5,2,2,0.001519
33,74442.000000,25558.000000,25,61968.582247,124300.828012,1256.793069,0.000000,5,2,1,0.001806
34,80585.000000,19415.000000,33,63888.163472,0.000000,1241.030619,0.000000,5,2,1,0.000391
35,67405.000000,32595.000000,18,61637.741408,11312182.443100,1508.989747,0.000000,5,2,1,0.001966
36,68824.000000,31176.000000,18,60085.977219,590706.666464,1459.678676,0.000000,5,2,1,0.002112
37,62423.000000,37577.000000,15,61652.345872,15092165.125260,1737.011411,0.000000,5,2,1,0.002847
38,63145.000000,36855.000000,13,59589.076815,18934567.790976,1563.748666,0.000000,5,2,1,0.003349
39,75201.000000,24799.000000,25,58664.637073,4776017.546904,1164.839926,0.000000,5,2,1,0.001202
40,70234.000000,29766.000000,18,56371.022675,34527052.995833,1355.994426,0.000000,3,1,1,0.002908
41,64943.000000,35057.000000,17,54133.964412,77579529.000310,1295.452435,0.000000,3,1,2,0.002332
42,65295.000000,34705.000000,16,55599.225727,78486262.838337,1236.019305,0.000000,3,1,1,0.005574
43,62951.000000,37049.000000,17,54075.375546,68512791.968103,1332.350160,0.000000,3,1,1,0.005135
44,62989.000000,37011.000000,17,55201.211539,41709433.167188,1345.724089,0.000000,3,1,1,0.003936
45,65331.000000,34669.000000,16,54811.405801,89605547.598648,1215.052179,0.000000,3,1,1,0.005399
46,72401.000000,27599.000000,22,57745.064169,14093908.860591,1171.341743,0.000000,3,1,1,0.001812
