generation,prey_fitness,predator_fitness,num_alive_end,avg_bb_size,var_bb_size,avg_shortest_dist,swarm_density_count,prey_neurons_connected_prey_retina,prey_neurons_connected_predator_retina,predator_neurons_connected_prey_retina,mutual_info
1,13926.000000,26074.000000,2,2124.919076,4197114.047939,1164.942487,2.475734,1,0,1,0.027462
1,15310.000000,24690.000000,2,2038.853780,5461711.741051,525.671699,3.114708,1,0,1,0.037024
2,13108.000000,26892.000000,2,1750.127988,3187513.576272,762.402516,2.627123,1,0,1,0.038287
3,14005.000000,25995.000000,2,2231.226490,3503124.652184,1215.171662,2.758466,1,0,1,0.026208
