generation,prey_fitness,predator_fitness,num_alive_end,avg_bb_size,var_bb_size,avg_shortest_dist,swarm_density_count,prey_neurons_connected_prey_retina,prey_neurons_connected_predator_retina,predator_neurons_connected_prey_retina,mutual_info
1,10817.000000,19183.000000,2,893.185119,586147.491561,842.065037,2.876123,4,1,1,0.025185
1,10504.000000,19496.000000,2,768.805976,638803.914245,542.725904,2.806087,4,1,1,0.028638
2,10640.000000,19360.000000,2,619.936940,387651.092011,382.994353,3.211413,4,1,1,0.026113
3,10743.000000,19257.000000,2,975.486377,497872.775608,1036.488575,2.812090,4,1,1,0.032189
