generation,prey_fitness,predator_fitness,num_alive_end,avg_bb_size,var_bb_size,avg_shortest_dist,swarm_density_count,prey_neurons_connected_prey_retina,prey_neurons_connected_predator_retina,predator_neurons_connected_prey_retina,mutual_info
1,10586.000000,19414.000000,2,866.142265,585042.927641,381.436639,2.772231,3,1,2,0.034123
1,13472.000000,16528.000000,2,1289.690223,658672.940291,815.942447,3.609103,3,1,2,0.020265
2,11984.000000,18016.000000,2,1062.439599,956884.548071,449.711215,2.997046,3,1,2,0.036270
3,8627.000000,21373.000000,2,840.734257,945539.259619,920.683682,2.064872,3,1,2,0.043890
