generation,prey_fitness,predator_fitness,num_alive_end,avg_bb_size,var_bb_size,avg_shortest_dist,swarm_density_count,prey_neurons_connected_prey_retina,prey_neurons_connected_predator_retina,predator_neurons_connected_prey_retina,mutual_info
1,76956.000000,23044.000000,25,62923.630621,1073653.651342,1256.150876,0.000000,4,6,1,0.001225
1,78868.000000,21132.000000,31,61810.081410,190372.970772,1212.189778,0.000000,4,6,1,0.001664
2,78189.000000,21811.000000,29,64343.154793,2858.169080,1262.373032,0.000000,3,6,1,0.000829
3,78302.000000,21698.000000,25,63664.999173,0.000000,1226.829811,0.000000,3,6,1,0.000982
4,70880.000000,29120.000000,20,60641.404292,1214109.529850,1428.918476,0.000000,3,6,1,0.001898
5,76082.000000,23918.000000,27,64777.737242,0.000000,1251.205795,0.000000,3,6,1,0.000867
6,73696.000000,26304.000000,26,63414.055947,53934.083827,1223.144141,0.000000,3,6,1,0.000896
7,81238.000000,18762.000000,31,63975.438881,0.000000,1267.419541,0.000000,3,6,1,0.000687
8,86456.000000,13544.000000,35,63768.836476,0.000000,1144.229358,0.000000,3,6,1,0.000513
9,88682.000000,11318.000000,39,64067.806693,0.000000,1132.663638,0.000000,3,6,1,0.000203
10,84395.000000,15605.000000,35,63980.316879,0.000000,1150.661147,0.000000,3,6,1,0.000217
11,77793.000000,22207.000000,28,64668.395371,88887.517579,1285.652595,0.000000,3,6,2,0.000890
12,76159.000000,23841.000000,26,62708.062690,32114.037480,1374.616142,0.000000,3,6,1,0.001292
13,78331.000000,21669.000000,28,63831.674741,0.000000,1196.353423,0.000000,3,6,2,0.000288
14,88986.000000,11014.000000,38,62290.840211,0.000000,1178.175462,0.000000,3,6,2,0.000297
15,79051.000000,20949.000000,27,63662.324791,423920.920898,1147.224968,0.000000,3,6,1,0.000554
16,83351.000000,16649.000000,31,63539.003037,15156.275572,1159.464532,0.000000,3,6,1,0.000424
17,72232.000000,27768.000000,28,63373.844656,684795.784432,1391.600016,0.000000,3,6,1,0.000556
18,79804.000000,20196.000000,30,62843.345080,0.000000,1189.104540,0.000000,3,6,1,0.001556
19,68094.000000,31906.000000,21,60196.993443,5886326.288552,1183.280336,0.000000,3,6,2,0.002129
20,65879.000000,34121.000000,18,56596.870134,21554964.560477,1425.586234,0.000000,3,6,2,0.002308
21,79756.000000,20244.000000,31,61938.394928,2537287.121049,1168.346472,0.000000,3,6,2,0.001231
22,73701.000000,26299.000000,25,56530.228912,41842474.537664,1212.941103,0.000000,3,6,2,0.001332
23,60350.000000,39650.000000,11,59561.814291,8537041.283617,1554.466963,0.000000,3,6,2,0.003772
24,73969.000000,26031.000000,22,59615.903937,5827612.950407,1278.976596,0.000000,3,6,2,0.003709
25,55677.000000,44323.000000,5,45241.520119,163338262.972498,1348.716171,0.000000,3,6,2,0.006252
