generation,prey_fitness,predator_fitness,num_alive_end,avg_bb_size,var_bb_size,avg_shortest_dist,swarm_density_count,prey_neurons_connected_prey_retina,prey_neurons_connected_predator_retina,predator_neurons_connected_prey_retina,mutual_info
1,58979.000000,11021.000000,22,5777.783434,3310958.578205,54.049484,11.889015,2,3,1,0.017060
1,53038.000000,16962.000000,19,5659.953205,3283053.952309,66.823143,10.803444,2,3,1,0.018429
2,54034.000000,15966.000000,15,5878.149550,3505330.939823,66.801399,11.068645,2,3,1,0.013162
3,42893.000000,27107.000000,7,4489.088282,3125928.712610,88.132582,9.457865,2,3,1,0.016645
