generation,prey_fitness,predator_fitness,num_alive_end,avg_bb_size,var_bb_size,avg_shortest_dist,swarm_density_count,prey_neurons_connected_prey_retina,prey_neurons_connected_predator_retina,predator_neurons_connected_prey_retina,mutual_info
1,41671.000000,28329.000000,5,3153.426654,1433708.370903,106.368620,12.697112,3,3,3,0.008158
1,50036.000000,19964.000000,13,3373.314436,1135859.147842,70.436218,15.210824,3,3,3,0.007497
2,48437.000000,21563.000000,13,3073.032657,1041122.609025,70.116828,15.555114,3,3,3,0.008490
3,53765.000000,16235.000000,17,3311.682745,1040895.748268,61.465552,16.644772,3,3,3,0.006441
