generation,prey_fitness,predator_fitness,num_alive_end,avg_bb_size,var_bb_size,avg_shortest_dist,swarm_density_count,prey_neurons_connected_prey_retina,prey_neurons_connected_predator_retina,predator_neurons_connected_prey_retina,mutual_info
1,47295.000000,22705.000000,13,202888.085823,6257625283.128593,5863.772793,1.311786,1,3,1,0.023609
1,42880.000000,27120.000000,12,208038.721297,6069462009.825974,5210.584670,1.333930,1,3,1,0.032221
2,44395.000000,25605.000000,12,203321.445932,5737415983.376815,4902.298840,1.360462,1,3,1,0.032721
3,39499.000000,30501.000000,7,205611.145894,6201266753.430882,9854.336137,1.433473,1,3,1,0.018836
