generation,prey_fitness,predator_fitness,num_alive_end,avg_bb_size,var_bb_size,avg_shortest_dist,swarm_density_count,prey_neurons_connected_prey_retina,prey_neurons_connected_predator_retina,predator_neurons_connected_prey_retina,mutual_info
1,47453.000000,22547.000000,14,147372.363975,3523869894.919227,3012.463054,1.340579,1,1,1,0.027944
1,47490.000000,22510.000000,16,165326.591829,4006697542.364419,3796.654823,1.412702,1,1,1,0.024520
2,43737.000000,26263.000000,11,126804.818996,3174748171.380687,3857.849840,1.292978,1,1,1,0.035381
3,51013.000000,18987.000000,17,162377.695834,3887502116.110038,3564.435742,1.327097,1,1,1,0.014764
