generation,prey_fitness,predator_fitness,num_alive_end,avg_bb_size,var_bb_size,avg_shortest_dist,swarm_density_count,prey_neurons_connected_prey_retina,prey_neurons_connected_predator_retina,predator_neurons_connected_prey_retina,mutual_info
1,42017.000000,27983.000000,10,78102.285134,967581811.415025,2639.646062,1.537838,1,1,1,0.020996
1,49273.000000,20727.000000,16,81812.167800,837721892.053328,2191.567998,1.812852,1,1,1,0.018238
2,54084.000000,15916.000000,18,117668.034233,2605784894.137691,2016.028538,1.538017,1,1,1,0.019547
3,46261.000000,23739.000000,14,96135.272612,2342791596.095983,2446.809595,1.568426,1,1,1,0.019282
