generation,prey_fitness,predator_fitness,num_alive_end,avg_bb_size,var_bb_size,avg_shortest_dist,swarm_density_count,prey_neurons_connected_prey_retina,prey_neurons_connected_predator_retina,predator_neurons_connected_prey_retina,mutual_info
1,79385.000000,10615.000000,35,1324.162895,186986.681772,9.662032,32.874049,1,1,3,0.006601
1,87677.000000,2323.000000,42,1618.025531,397048.817112,10.279011,35.125993,1,1,3,0.014288
2,86066.000000,3934.000000,41,1320.431958,163124.642270,8.355999,36.187638,1,1,3,0.012013
3,83217.000000,6783.000000,38,1170.290528,125858.238457,8.252543,36.639995,1,1,3,0.012323
