generation,prey_fitness,predator_fitness,num_alive_end,avg_bb_size,var_bb_size,avg_shortest_dist,swarm_density_count,prey_neurons_connected_prey_retina,prey_neurons_connected_predator_retina,predator_neurons_connected_prey_retina,mutual_info
1,59918.000000,30082.000000,19,170393.851370,4703775395.041936,2789.566699,2.011497,1,0,2,0.016728
1,55650.000000,34350.000000,14,159302.048119,4748424117.933428,3141.608511,1.886506,1,0,2,0.021058
2,62244.000000,27756.000000,19,174375.578276,5205854686.201448,2368.735027,2.006923,1,0,2,0.021935
3,57052.000000,32948.000000,16,142904.250101,3023553625.246562,2841.742952,1.919967,1,0,2,0.014708
