generation,prey_fitness,predator_fitness,num_alive_end,avg_bb_size,var_bb_size,avg_shortest_dist,swarm_density_count,prey_neurons_connected_prey_retina,prey_neurons_connected_predator_retina,predator_neurons_connected_prey_retina,mutual_info
1,61652.000000,38348.000000,13,51168.490171,145156657.045003,1316.774460,0.000000,2,6,1,0.002455
1,55231.000000,44769.000000,8,48356.794043,236458087.326581,1421.278231,0.000000,2,6,2,0.004614
2,64966.000000,35034.000000,16,54357.107914,42574957.754117,1351.012213,0.000000,2,6,1,0.002235
3,60776.000000,39224.000000,14,53260.573276,40191284.264787,1433.056200,0.000000,2,6,1,0.004213
4,61666.000000,38334.000000,11,52328.296043,116478868.121852,1322.536695,0.000000,2,6,1,0.004231
5,56905.000000,43095.000000,11,47361.349119,135509804.173299,1456.011060,0.000000,2,6,1,0.005895
6,53021.000000,46979.000000,6,43051.885150,257233123.061028,1332.387107,0.000000,2,6,1,0.005813
7,65660.000000,34340.000000,15,52988.523364,62035612.675777,1301.214209,0.000000,2,6,1,0.004820
8,60525.000000,39475.000000,14,54575.475402,81447199.898383,1304.520551,0.000000,2,6,2,0.003282
9,62011.000000,37989.000000,15,57193.980537,33737288.852944,1463.144152,0.000000,2,6,2,0.001522
10,66633.000000,33367.000000,14,50831.637341,171875184.827015,1196.267923,0.000000,2,6,1,0.001857
11,62518.000000,37482.000000,13,49074.952582,172800993.984971,1222.147858,0.000000,2,6,2,0.002719
12,62101.000000,37899.000000,14,53472.936877,64732545.159448,1410.013735,0.000000,2,6,2,0.003301
13,59572.000000,40428.000000,10,53409.299779,94144933.406666,1756.668384,0.000000,2,6,1,0.008880
14,63879.000000,36121.000000,12,54547.654436,76804294.962712,1296.158919,0.000000,2,6,1,0.005805
15,47366.000000,52634.000000,2,36167.441222,327505840.446277,1685.241583,0.000000,2,6,2,0.009443
16,49118.000000,50882.000000,5,50556.174309,94699572.576232,2067.589451,0.000000,2,6,2,0.006448
17,60099.000000,39901.000000,9,50475.763557,194343864.419779,1428.253374,0.000000,2,6,1,0.003739
18,60141.000000,39859.000000,16,48912.761413,144200004.108602,1283.909677,0.000000,2,6,4,0.002755
19,59089.000000,40911.000000,9,50491.426705,124163716.014382,1556.719243,0.000000,2,6,1,0.004296
20,56255.000000,43745.000000,6,47222.024025,310960275.684475,1345.935164,0.000000,2,6,1,0.003234
21,63194.000000,36806.000000,13,52571.007179,86155606.521105,1305.064144,0.000000,2,6,1,0.002957
22,51403.000000,48597.000000,4,40484.807266,390048817.540404,1166.069718,0.000000,2,6,2,0.003610
23,50996.000000,49004.000000,2,35000.935224,571394403.883716,1125.444866,0.000000,2,6,1,0.004306
24,60180.000000,39820.000000,13,54921.405576,24662547.255592,1518.079312,0.000000,2,6,3,0.006518
25,63100.000000,36900.000000,18,52253.216195,61443890.172787,1281.427041,0.000000,2,6,2,0.001350
26,60380.000000,39620.000000,10,46932.925181,219633829.092714,1198.698342,0.000000,2,6,2,0.003371
27,56278.000000,43722.000000,8,51855.863678,73079692.282988,1505.346857,0.000000,2,6,1,0.009222
28,71411.000000,28589.000000,22,56443.832020,60017672.687666,1105.953452,0.000000,2,6,1,0.004572
29,61072.000000,38928.000000,18,58942.273820,14086752.038313,1524.726660,0.000000,2,6,1,0.005695
30,59818.000000,40182.000000,14,61503.151629,4168297.774005,1671.095561,0.000000,2,6,1,0.006810
31,61470.000000,38530.000000,11,51795.450002,125188663.697126,1340.212651,0.000000,2,6,1,0.003024
32,49064.000000,50936.000000,2,35692.667944,523259664.050771,1451.770300,0.000000,2,6,1,0.002858
33,55779.000000,44221.000000,2,40670.989530,437453150.229502,1192.537943,0.000000,2,6,1,0.004300
34,55509.000000,44491.000000,6,42611.890009,354079601.638144,1271.987331,0.000000,2,6,3,0.003542
35,53643.000000,46357.000000,2,39267.806561,496819754.519381,1265.079645,0.000000,2,6,1,0.005553
36,47828.000000,52172.000000,2,43613.800987,342605910.424832,3071.142979,0.000000,2,6,1,0.004262
37,71951.000000,28049.000000,23,59065.385465,16840005.356451,1265.271730,0.000000,2,6,3,0.003724
38,64860.000000,35140.000000,15,55679.218390,70817501.469915,1404.477222,0.000000,2,6,1,0.003113
39,61828.000000,38172.000000,3,43835.220363,347984064.309225,1187.034573,0.000000,2,6,1,0.004919
40,70654.000000,29346.000000,21,53831.530511,80094804.482421,1252.146235,0.000000,2,6,3,0.001627
41,52642.000000,47358.000000,4,38570.132047,434384128.662125,1171.675825,0.000000,2,6,1,0.008331
42,56068.000000,43932.000000,7,40835.927379,285646473.877649,1136.746819,0.000000,2,6,2,0.003429
43,100000.000000,1.000000,50,62174.809926,0.000000,1038.919581,0.000000,2,6,1,0.000000
44,47213.000000,52787.000000,2,34015.028516,531551873.007654,1134.059938,0.000000,2,6,1,0.003495
45,77947.000000,22053.000000,29,57936.406282,17505965.552775,1144.919809,0.000000,2,6,2,0.001913
46,53326.000000,46674.000000,2,39968.509813,429782145.825590,1227.372449,0.000000,2,6,1,0.003446
47,50063.000000,49937.000000,2,37240.586980,559844168.488663,1230.218221,0.000000,2,6,1,0.012069
48,54224.000000,45776.000000,2,39951.211831,548240578.756166,1260.567118,0.000000,2,4,1,0.006255
49,43138.000000,56862.000000,2,31385.195500,571906318.446642,1761.583276,0.000000,2,4,1,0.003369
50,55062.000000,44938.000000,2,41780.095374,491433537.615843,1186.395585,0.000000,2,4,2,0.002339
51,59387.000000,40613.000000,7,42462.729929,388038998.573351,1133.899741,0.000000,2,4,1,0.004886
52,68182.000000,31818.000000,17,55116.574861,107106934.719701,1243.137855,0.000000,2,4,2,0.002631
53,62011.000000,37989.000000,9,44987.028103,296421956.835597,1182.130731,0.000000,2,4,1,0.005768
54,100000.000000,1.000000,50,65055.154817,0.000000,1107.368484,0.000000,2,4,2,-0.000000
55,62161.000000,37839.000000,18,53828.981299,14686380.408669,1375.389602,0.000000,2,4,2,0.002346
56,57366.000000,42634.000000,6,39736.245805,362914681.269634,1145.915145,0.000000,2,4,1,0.005382
57,39373.000000,60627.000000,2,27170.674064,550329885.958924,1346.483698,0.000000,2,4,1,0.006010
58,54137.000000,45863.000000,2,39856.406328,470264192.158043,1161.250462,0.000000,2,4,3,0.006614
59,53077.000000,46923.000000,2,36304.400895,522800567.238134,1186.093980,0.000000,2,4,1,0.007176
60,49446.000000,50554.000000,2,34831.725190,491501423.142246,1195.494008,0.000000,2,4,1,0.003233
61,56479.000000,43521.000000,4,42427.361817,427317269.483107,1201.904924,0.000000,2,4,1,0.007146
62,58523.000000,41477.000000,6,46096.341315,292143145.675225,1203.874703,0.000000,2,4,1,0.006461
63,50218.000000,49782.000000,2,36665.403506,434094623.259543,1228.500210,0.000000,1,3,1,0.009700
64,50120.000000,49880.000000,2,34384.900839,542637126.136219,1109.860459,0.000000,1,3,1,0.015881
65,50640.000000,49360.000000,2,36155.594233,548404183.791598,1310.924068,0.000000,1,3,2,0.006000
66,49772.000000,50228.000000,2,34761.325075,509295168.269551,1166.302453,0.000000,1,3,1,0.004013
67,61383.000000,38617.000000,2,41239.346907,493524145.857104,1135.872252,0.000000,2,2,1,0.002932
68,62977.000000,37023.000000,13,49215.194673,202506457.297990,1170.521067,0.000000,2,2,2,0.008804
69,50878.000000,49122.000000,2,36325.042899,477768666.226477,1193.284967,0.000000,2,2,2,0.004028
70,49952.000000,50048.000000,2,38104.584055,398063904.310596,1225.256406,0.000000,2,2,1,0.007898
71,53083.000000,46917.000000,3,41491.010030,458943755.806308,1177.278067,0.000000,2,2,2,0.005945
72,62543.000000,37457.000000,17,59885.867100,7261726.239621,1456.731290,0.000000,2,2,1,0.004714
73,96146.000000,3854.000000,48,64994.641471,0.000000,1157.984547,0.000000,2,2,2,0.000006
74,50588.000000,49412.000000,2,38115.116553,518150796.139343,1199.181992,0.000000,2,2,1,0.010094
75,42388.000000,57612.000000,2,29839.175381,566135301.263242,1582.789482,0.000000,2,2,2,0.004959
76,61425.000000,38575.000000,10,44561.379435,243367054.482451,1159.244893,0.000000,2,2,1,0.005790
77,57053.000000,42947.000000,3,43061.354104,439647888.953646,1212.632485,0.000000,2,2,1,0.008106
78,44060.000000,55940.000000,2,32129.050082,488507337.362176,1244.260151,0.000000,2,2,1,0.014817
79,46931.000000,53069.000000,2,32259.343663,562628305.726172,1151.339302,0.000000,3,2,1,0.007918
80,51350.000000,48650.000000,2,36695.463772,521384175.337773,1282.069058,0.000000,3,2,1,0.005783
81,56644.000000,43356.000000,2,40382.033704,474286525.898760,1245.299941,0.000000,3,2,1,0.002854
82,41151.000000,58849.000000,2,28535.430405,553142044.004317,1236.296783,0.000000,3,2,2,0.005624
83,73104.000000,26896.000000,25,62457.322562,2611493.270074,1259.600703,0.000000,3,2,1,0.001249
84,50522.000000,49478.000000,2,34411.939505,448229893.341776,1469.027395,0.000000,3,2,1,0.004390
85,57871.000000,42129.000000,4,41480.324255,391024073.123156,1213.070084,0.000000,3,1,1,0.010630
86,45067.000000,54933.000000,2,31053.553481,562443354.613778,1176.979246,0.000000,3,1,1,0.005743
87,45944.000000,54056.000000,2,33904.979861,577442385.965299,1350.058346,0.000000,3,1,1,0.009997
88,45804.000000,54196.000000,2,32431.534780,616180388.602745,1300.985662,0.000000,3,1,1,0.003450
89,55256.000000,44744.000000,2,37919.118838,481639503.321651,1179.195255,0.000000,3,1,1,0.002825
90,100000.000000,1.000000,50,63915.826031,0.000000,1113.349638,0.000000,3,1,2,-0.000000
91,52156.000000,47844.000000,2,38570.354590,499284828.556332,1174.951630,0.000000,3,1,1,0.012872
92,48829.000000,51171.000000,2,33194.583558,539535827.070304,1278.062741,0.000000,3,1,1,0.014653
93,54004.000000,45996.000000,2,38504.515413,454791237.887230,1230.108007,0.000000,3,1,1,0.008265
94,45839.000000,54161.000000,2,33067.314203,484816803.626734,1401.136011,0.000000,3,1,1,0.011230
95,44601.000000,55399.000000,2,29288.615643,555146148.253326,1367.579921,0.000000,3,1,1,0.005941
96,49308.000000,50692.000000,2,33613.878592,534847099.678980,1391.136472,0.000000,3,1,1,0.004623
97,98036.000000,1964.000000,49,64660.354172,0.000000,1132.056736,0.000000,3,1,1,0.000000
98,85255.000000,14745.000000,36,65167.990788,0.000000,1257.355949,0.000000,3,1,1,0.000389
99,53103.000000,46897.000000,2,39360.532082,454929115.237086,1149.986262,0.000000,3,1,1,0.005197
100,43665.000000,56335.000000,2,32967.447756,531521726.877606,1241.615434,0.000000,4,0,1,0.012034
101,83441.000000,16559.000000,34,63401.187019,0.000000,1103.892526,0.000000,4,0,1,0.000503
102,48145.000000,51855.000000,2,35349.887320,579175290.193546,1459.556964,0.000000,3,0,1,0.010890
103,50525.000000,49475.000000,2,35612.707304,450448123.017635,1147.208826,0.000000,3,0,1,0.005961
104,89826.000000,10174.000000,39,64102.449279,0.000000,1083.099465,0.000000,3,0,1,0.000037
105,48058.000000,51942.000000,2,34975.487267,364350244.011112,1233.050545,0.000000,3,0,1,0.004954
106,51503.000000,48497.000000,2,34528.722792,574300721.838710,1128.703459,0.000000,3,0,1,0.007697
107,96045.000000,3955.000000,48,64315.179316,0.000000,1092.174767,0.000000,3,0,1,0.000009
108,56989.000000,43011.000000,2,42066.053718,539185771.609107,1247.214528,0.000000,3,0,2,0.005274
109,48040.000000,51960.000000,2,33343.702169,523772356.921119,1115.057618,0.000000,3,0,2,0.003882
110,46189.000000,53811.000000,2,34777.166233,501785052.039566,1361.182160,0.000000,3,0,1,0.005351
111,50690.000000,49310.000000,2,38548.667001,463696013.098858,1209.001795,0.000000,3,0,1,0.010078
112,58925.000000,41075.000000,2,39746.218496,461944255.749004,1143.847962,0.000000,0,0,1,0.007396
113,46132.000000,53868.000000,2,33423.783471,474689287.077209,1250.945165,0.000000,0,0,1,0.008970
114,50552.000000,49448.000000,2,35033.598876,561954250.853095,1203.802177,0.000000,0,0,1,0.003610
115,69937.000000,30063.000000,25,61635.275740,291453.007094,1363.347931,0.000000,0,0,2,0.001066
116,55146.000000,44854.000000,3,37817.284634,442048598.705604,1142.289751,0.000000,0,0,1,0.006168
117,49525.000000,50475.000000,2,34641.807320,552890521.332974,1138.946886,0.000000,0,0,3,0.004391
118,48948.000000,51052.000000,2,34894.850710,572009278.945178,1099.622103,0.000000,0,0,2,0.006329
119,59308.000000,40692.000000,10,52316.750012,222744936.691524,1369.582752,0.000000,0,0,2,0.005269
120,58417.000000,41583.000000,7,41166.841395,298749271.048403,1099.134524,0.000000,0,0,1,0.006010
121,62865.000000,37135.000000,8,46094.210160,313705633.055698,1149.063794,0.000000,0,0,1,0.008080
122,48990.000000,51010.000000,2,34429.228897,537098720.812150,1366.845983,0.000000,0,0,2,0.006257
123,50302.000000,49698.000000,2,36092.206829,518870524.519166,1290.224999,0.000000,0,0,2,0.011438
