generation,prey_fitness,predator_fitness,num_alive_end,avg_bb_size,var_bb_size,avg_shortest_dist,swarm_density_count,prey_neurons_connected_prey_retina,prey_neurons_connected_predator_retina,predator_neurons_connected_prey_retina,mutual_info
1,18208.000000,1792.000000,9,300.260211,14188.084625,19.824469,8.093122,2,1,1,0.009516
1,17144.000000,2856.000000,7,291.362028,9521.012860,22.605633,7.565319,2,1,1,0.009702
2,17783.000000,2217.000000,8,302.742764,11724.585458,22.399093,7.887125,2,1,1,0.017600
3,14474.000000,5526.000000,4,246.322129,12306.680034,28.687825,6.236267,2,1,1,0.068660
