generation,prey_fitness,predator_fitness,num_alive_end,avg_bb_size,var_bb_size,avg_shortest_dist,swarm_density_count,prey_neurons_connected_prey_retina,prey_neurons_connected_predator_retina,predator_neurons_connected_prey_retina,mutual_info
1,34838.000000,25162.000000,2,46986.446172,465915559.533149,2286.285839,1.663374,0,6,1,0.038716
1,39498.000000,20502.000000,7,51350.315500,340575692.568580,2387.728603,1.744175,0,6,1,0.040372
2,33035.000000,26965.000000,3,38013.949021,280157982.809425,1849.949051,1.805476,0,6,1,0.022853
3,32488.000000,27512.000000,2,29681.359645,292788329.807917,1091.001396,1.833639,0,6,1,0.033240
