generation,prey_fitness,predator_fitness,num_alive_end,avg_bb_size,var_bb_size,avg_shortest_dist,swarm_density_count,prey_neurons_connected_prey_retina,prey_neurons_connected_predator_retina,predator_neurons_connected_prey_retina,mutual_info
1,36667.000000,23333.000000,6,150897.802112,4081396849.268336,7203.594367,1.302306,2,1,1,0.043825
1,38174.000000,21826.000000,8,130888.956919,3014583074.701270,4406.703068,1.539852,2,1,1,0.050648
2,34618.000000,25382.000000,7,123546.572271,3538790012.510201,5360.715931,1.211108,2,1,1,0.030202
3,40287.000000,19713.000000,9,121038.480726,2368881520.867924,3798.023014,1.417470,2,1,1,0.038630
