generation,prey_fitness,predator_fitness,num_alive_end,avg_bb_size,var_bb_size,avg_shortest_dist,swarm_density_count,prey_neurons_connected_prey_retina,prey_neurons_connected_predator_retina,predator_neurons_connected_prey_retina,mutual_info
1,31524.000000,28476.000000,6,116776.843188,7086314889.471579,4658.824237,1.129259,1,0,4,0.038796
1,34527.000000,25473.000000,8,187345.490935,5014315314.101306,7377.767780,1.061829,1,0,4,0.031903
2,29947.000000,30053.000000,4,160995.782972,5307320948.537306,11434.608582,1.037753,1,0,4,0.038006
3,35956.000000,24044.000000,9,207158.674391,5734092139.386968,8586.699671,1.103046,1,0,4,0.029762
