generation,prey_fitness,predator_fitness,num_alive_end,avg_bb_size,var_bb_size,avg_shortest_dist,swarm_density_count,prey_neurons_connected_prey_retina,prey_neurons_connected_predator_retina,predator_neurons_connected_prey_retina,mutual_info,num_attacks
1,60174.000000,39826.000000,11,55006.214967,82875172.960412,1427.391763,0.000000,5,6,1,0.004685,39
1,61462.000000,38538.000000,9,53958.962096,47517450.797397,1337.242451,0.000000,5,6,1,0.004555,41
2,53949.000000,46051.000000,6,42419.233903,225926190.804036,1209.706442,0.000000,5,6,1,0.003846,44
3,66233.000000,33767.000000,16,61519.582196,8201997.369268,1458.142145,0.000000,5,6,1,0.003354,34
4,60609.000000,39391.000000,11,51147.327384,121702958.417074,1288.679394,0.000000,5,6,1,0.002681,39
5,60430.000000,39570.000000,15,52894.013756,111821094.999323,1250.285776,0.000000,3,5,1,0.007889,35
6,60508.000000,39492.000000,14,51998.957031,164043589.291377,1422.497300,0.000000,3,5,1,0.006077,36
7,49594.000000,50406.000000,9,51179.620970,79422417.485662,2007.835730,0.000000,2,6,1,0.003461,41
8,57597.000000,42403.000000,8,44694.407093,281164725.422402,1242.490989,0.000000,2,6,1,0.004038,42
9,67456.000000,32544.000000,15,52289.781370,118480939.941739,1215.240856,0.000000,2,6,1,0.004281,35
10,66790.000000,33210.000000,16,51105.967218,127632114.888009,1246.693529,0.000000,2,7,1,0.005183,34
11,54859.000000,45141.000000,9,50659.815761,89081135.401356,1551.379417,0.000000,2,7,1,0.004991,41
12,68312.000000,31688.000000,21,62714.334490,482763.987397,1231.534608,0.000000,2,7,1,0.001497,29
13,67073.000000,32927.000000,16,56713.579300,75909711.988495,1335.993187,0.000000,3,6,1,0.003801,34
14,62538.000000,37462.000000,13,52858.462532,104615517.892348,1356.688893,0.000000,3,6,1,0.002789,37
15,67734.000000,32266.000000,14,54782.775113,71323875.527986,1266.328175,0.000000,4,6,1,0.003662,36
16,61115.000000,38885.000000,10,47729.788036,229460742.615735,1246.937713,0.000000,4,6,1,0.002219,40
17,67092.000000,32908.000000,16,60269.692860,4754918.100498,1272.114360,0.000000,4,6,1,0.001692,34
18,54285.000000,45715.000000,2,38987.277196,355868956.975505,1386.099905,0.000000,4,6,1,0.005091,48
19,56033.000000,43967.000000,8,41476.056566,174219780.852732,1311.102751,0.000000,4,6,1,0.016992,42
20,60560.000000,39440.000000,14,53606.745349,87831953.417744,1331.272072,0.000000,4,6,1,0.006037,36
21,47796.000000,52204.000000,2,33762.307354,458630095.070671,1429.600925,0.000000,4,6,1,0.012364,48
22,64921.000000,35079.000000,14,58481.277635,14279938.480214,1401.837076,0.000000,4,6,1,0.003626,36
23,60169.000000,39831.000000,10,48097.383866,140867512.486224,1236.694256,0.000000,4,6,1,0.007867,40
24,57238.000000,42762.000000,7,47835.536239,136248558.723772,1698.659880,0.000000,4,6,1,0.002777,43
25,100000.000000,1.000000,50,62808.827893,0.000000,1101.412268,0.000000,4,6,1,0.000000,0
26,77296.000000,22704.000000,27,63471.118092,0.000000,1291.316035,0.000000,4,6,1,0.000758,23
27,57140.000000,42860.000000,13,54078.924655,29656253.774957,1575.365381,0.000000,4,6,1,0.003782,37
28,55676.000000,44324.000000,2,38671.799691,442534284.989004,1200.317398,0.000000,4,6,1,0.004465,48
29,58230.000000,41770.000000,9,44839.848246,263052047.294831,1286.666846,0.000000,4,6,1,0.011375,41
30,62773.000000,37227.000000,12,47648.215040,182843518.338138,1204.672090,0.000000,4,7,1,0.003749,38
31,67214.000000,32786.000000,15,53192.572634,124064926.823955,1236.965921,0.000000,4,7,1,0.004444,35
32,61915.000000,38085.000000,12,51303.586141,160162322.336831,1287.978098,0.000000,4,7,1,0.009234,38
33,60832.000000,39168.000000,10,47626.494666,227499031.017254,1211.179301,0.000000,4,7,1,0.004932,40
34,58481.000000,41519.000000,5,43435.624340,319962596.369297,1194.463161,0.000000,4,7,1,0.002506,45
35,50945.000000,49055.000000,2,37743.844739,444890562.780849,1386.464003,0.000000,4,7,1,0.004730,48
36,61148.000000,38852.000000,7,45084.600932,329461594.070477,1192.037458,0.000000,4,7,3,0.004258,43
37,47583.000000,52417.000000,2,32721.334268,494541379.413953,1459.644280,0.000000,4,7,1,0.008369,48
38,51041.000000,48959.000000,2,35230.251841,434588111.065215,1314.884942,0.000000,4,7,1,0.008035,48
39,51901.000000,48099.000000,2,35350.832805,325929709.312288,1327.195620,0.000000,2,5,1,0.012972,48
40,45689.000000,54311.000000,2,32211.944439,583196485.196082,1559.932324,0.000000,2,5,2,0.006708,48
41,54222.000000,45778.000000,3,39398.196643,436032895.463150,1181.962544,0.000000,2,5,2,0.005812,47
42,56240.000000,43760.000000,2,39877.436808,477080374.794238,1167.790009,0.000000,2,5,1,0.008283,48
43,59846.000000,40154.000000,9,45610.113085,195143928.358944,1238.373748,0.000000,2,5,1,0.004323,41
44,75298.000000,24702.000000,23,62922.479050,0.000000,1433.954051,0.000000,2,5,1,0.002085,27
45,57129.000000,42871.000000,4,41167.326930,344980378.272270,1285.894123,0.000000,2,5,2,0.006763,46
46,56103.000000,43897.000000,5,41405.472156,295962001.576824,1225.196812,0.000000,2,5,1,0.004671,45
47,70766.000000,29234.000000,20,57858.060335,1933126.713684,1349.441035,0.000000,2,5,1,0.003086,30
48,61884.000000,38116.000000,8,48916.949711,258570620.004608,1194.508966,0.000000,2,5,1,0.009503,42
49,54301.000000,45699.000000,4,42212.893040,310934859.272612,1348.854044,0.000000,2,5,1,0.004892,46
50,65845.000000,34155.000000,17,53965.070305,71395831.752848,1285.442624,0.000000,1,3,1,0.002832,33
51,58824.000000,41176.000000,11,52365.223973,108840472.793068,1460.397030,0.000000,1,3,1,0.004309,39
52,60678.000000,39322.000000,6,44443.022524,355555595.401225,1146.916632,0.000000,1,3,2,0.006488,44
53,58702.000000,41298.000000,4,40454.717748,383994174.618247,1151.194709,0.000000,1,1,1,0.003206,46
54,58383.000000,41617.000000,4,42099.274572,351574865.693114,1267.503950,0.000000,1,1,1,0.005956,46
55,57766.000000,42234.000000,4,41153.119856,346688610.482635,1196.882188,0.000000,1,1,1,0.002627,46
56,50509.000000,49491.000000,2,34635.360161,539557044.352704,1401.448979,0.000000,1,1,1,0.007547,48
57,47221.000000,52779.000000,2,33428.270435,359461574.459483,1261.742559,0.000000,1,1,1,0.013315,48
