generation,prey_fitness,predator_fitness,num_alive_end,avg_bb_size,var_bb_size,avg_shortest_dist,swarm_density_count,prey_neurons_connected_prey_retina,prey_neurons_connected_predator_retina,predator_neurons_connected_prey_retina,mutual_info,num_attacks
1101,74810.000000,25190.000000,24,188043.073717,1057760712.386302,2301.554452,0.653149,0,0,1,0.011389,26
1102,73599.000000,26401.000000,23,200879.308428,1716266020.041944,2667.682257,0.546445,0,0,1,0.013727,27
1103,81242.000000,18758.000000,28,218558.695996,1626713485.390213,2362.692174,0.525915,0,0,1,0.013216,22
1104,73181.000000,26819.000000,25,216606.909625,1297960147.697278,2953.304973,0.404986,0,0,1,0.011791,25
1105,69638.000000,30362.000000,23,208086.962898,1412134071.400999,3116.588640,0.477444,0,0,1,0.018722,27
1106,79748.000000,20252.000000,25,223351.410993,1483770015.436281,2413.502973,0.488293,0,0,1,0.008867,25
1107,79564.000000,20436.000000,27,220287.010605,1517448815.474339,2487.985526,0.516858,0,0,1,0.013939,23
1108,79268.000000,20732.000000,30,216737.181382,1228415885.666089,2507.146325,0.542381,0,0,1,0.019524,20
1109,81851.000000,18149.000000,27,211167.834677,1613360404.500316,2240.804512,0.467405,0,0,1,0.016320,23
1110,69965.000000,30035.000000,23,204539.198106,1389449379.458256,2748.122944,0.504682,0,0,1,0.011641,27
1111,80176.000000,19824.000000,29,220175.351624,1582383370.163174,2403.791726,0.567802,0,0,1,0.009950,21
1112,74379.000000,25621.000000,24,220670.679542,1625680505.739236,2977.284014,0.450397,0,0,1,0.010112,26
1113,89340.000000,10660.000000,41,228073.800668,1512139106.408874,2091.164733,0.568862,0,0,1,0.003706,9
1114,80366.000000,19634.000000,28,219281.009094,1645012707.905801,2419.861289,0.480734,0,0,1,0.011363,22
1115,70438.000000,29562.000000,22,203245.709622,1239857942.330703,2939.486057,0.518576,0,0,1,0.011876,28
1116,74174.000000,25826.000000,21,208999.353970,1356251183.613319,2629.216246,0.487021,0,0,1,0.012940,29
1117,79052.000000,20948.000000,27,229016.388497,1438218026.242885,2679.015241,0.463692,0,0,1,0.022290,23
1118,98364.000000,1636.000000,48,230373.294084,1332909843.968191,1844.213684,0.575491,0,0,0,-0.000000,2
1119,72209.000000,27791.000000,21,216420.294354,1542101074.845035,2680.316257,0.437591,0,0,1,0.012145,29
1120,72760.000000,27240.000000,19,218842.117343,1563496367.053200,2935.898283,0.377410,0,0,1,0.012548,31
1121,65843.000000,34157.000000,20,206818.417332,1649033698.027615,2891.775653,0.489884,0,0,1,0.014896,30
1122,78479.000000,21521.000000,29,212577.943145,2037971280.884473,2301.129758,0.596283,0,0,1,0.021478,21
1123,81070.000000,18930.000000,30,211703.852492,1349930930.271419,2114.414208,0.556855,0,0,1,0.012915,20
1124,71944.000000,28056.000000,19,205448.573462,1684735417.984369,2762.788977,0.481799,0,0,1,0.010913,31
1125,72077.000000,27923.000000,26,208411.146383,1591263833.100780,2870.314475,0.515189,0,0,1,0.008867,24
1126,71606.000000,28394.000000,20,221967.932028,1798126001.404727,2914.768238,0.418876,0,0,1,0.018541,30
1127,67882.000000,32118.000000,18,219311.867591,1820715534.552013,3461.788352,0.467014,0,0,1,0.018398,32
1128,72582.000000,27418.000000,23,218461.858230,1882112719.073727,3145.739698,0.449059,0,0,1,0.011311,27
1129,72589.000000,27411.000000,22,218392.031697,1403114728.041044,3199.400908,0.466540,0,0,1,0.013153,28
1130,76926.000000,23074.000000,26,231113.186588,1823034867.664426,2776.818354,0.397757,0,0,1,0.013419,24
1131,78161.000000,21839.000000,26,226379.566974,2073530390.250290,3110.690641,0.620206,0,0,1,0.017031,24
1132,71865.000000,28135.000000,25,132059.901870,568381411.065496,1772.305459,0.692739,0,0,1,0.012688,25
1133,78392.000000,21608.000000,27,141011.368022,558557562.976817,1558.487743,0.759878,0,0,1,0.011924,23
1134,71935.000000,28065.000000,23,129614.295633,826669431.121052,1409.876292,0.880192,0,0,1,0.007704,27
1135,71990.000000,28010.000000,21,108422.862106,605044666.115266,1420.302405,0.999142,0,0,1,0.012783,29
1136,73732.000000,26268.000000,24,98444.902502,325867511.069675,1187.738120,1.031361,0,0,1,0.014821,26
1137,81293.000000,18707.000000,31,138008.705854,781594442.447324,1574.562177,0.773533,0,0,1,0.010969,19
1138,74016.000000,25984.000000,23,110940.712578,315857879.184638,1335.339676,0.973882,0,0,1,0.008117,27
1139,71016.000000,28984.000000,20,86270.286191,217116207.449779,1082.713212,1.190174,0,0,1,0.014166,30
1140,82116.000000,17884.000000,32,141459.279385,767805511.834826,1672.926279,0.898920,0,0,1,0.009470,18
1141,81560.000000,18440.000000,32,127539.128514,487928699.019097,1364.692346,0.942623,0,0,1,0.009975,18
1142,78220.000000,21780.000000,29,120197.834907,467983868.944775,1546.819561,1.031168,0,0,1,0.012591,21
1143,83826.000000,16174.000000,32,110091.175720,346537323.336008,1107.223902,1.238277,0,0,1,0.008056,18
1144,79273.000000,20727.000000,29,142409.947806,801200923.780395,1269.484084,1.105578,0,0,1,0.008524,21
1145,73399.000000,26601.000000,24,100777.229033,336126332.140047,1197.582657,1.063425,0,0,1,0.009201,26
1146,77714.000000,22286.000000,28,117539.531878,242464434.088532,1456.117732,0.970668,0,0,1,0.007133,22
