generation,prey_fitness,predator_fitness,num_alive_end,avg_bb_size,var_bb_size,avg_shortest_dist,swarm_density_count,prey_neurons_connected_prey_retina,prey_neurons_connected_predator_retina,predator_neurons_connected_prey_retina,mutual_info
1,80179.000000,19821.000000,29,189004.719762,4244766683.493808,2251.198465,1.824220,0,1,1,0.012592
1,78698.000000,21302.000000,31,168530.456680,3596894531.207147,1902.533112,1.863371,0,1,1,0.009195
2,79350.000000,20650.000000,28,191236.327707,4472124261.943945,2258.865897,1.916300,0,1,1,0.021419
3,79256.000000,20744.000000,31,178179.049556,3988958264.963460,2023.429668,1.946533,0,1,1,0.024965
