generation,prey_fitness,predator_fitness,num_alive_end,avg_bb_size,var_bb_size,avg_shortest_dist,swarm_density_count,prey_neurons_connected_prey_retina,prey_neurons_connected_predator_retina,predator_neurons_connected_prey_retina,mutual_info
1,71764.000000,28236.000000,18,197773.712533,6087613416.525702,2806.238413,2.101724,4,2,2,0.021265
1,70706.000000,29294.000000,21,198931.136831,5819629783.169426,3233.887328,2.015719,4,2,2,0.020106
2,73864.000000,26136.000000,23,199883.278906,6248072489.899943,2590.401722,2.078200,4,2,2,0.016859
3,74674.000000,25326.000000,25,205695.857320,6431838027.425289,2197.147111,2.004399,4,2,2,0.016602
