generation,prey_fitness,predator_fitness,num_alive_end,avg_bb_size,var_bb_size,avg_shortest_dist,swarm_density_count,prey_neurons_connected_prey_retina,prey_neurons_connected_predator_retina,predator_neurons_connected_prey_retina,mutual_info
1,15944.000000,24056.000000,2,28670.004199,113672844.363526,21607.661062,0.806135,3,3,1,0.074466
1,16850.000000,23150.000000,2,28934.445284,529220659.093114,11642.173007,0.789038,3,3,1,0.050466
2,19826.000000,20174.000000,2,28912.685393,354673499.239593,5242.056363,0.955337,3,3,1,0.078387
3,18239.000000,21761.000000,2,39763.118063,726863693.341706,7022.234768,0.758157,3,3,1,0.042028
