generation,prey_fitness,predator_fitness,num_alive_end,avg_bb_size,var_bb_size,avg_shortest_dist,swarm_density_count,prey_neurons_connected_prey_retina,prey_neurons_connected_predator_retina,predator_neurons_connected_prey_retina,mutual_info
1,75783.000000,24217.000000,30,63647.442782,0.000000,1204.970567,0.000000,1,6,1,0.000417
1,81767.000000,18233.000000,34,63841.323639,0.000000,1264.253379,0.000000,1,6,1,0.000330
2,90146.000000,9854.000000,42,66402.298916,1856396.963556,1006.398902,0.585928,1,6,1,0.005078
3,89618.000000,10382.000000,40,67051.222385,1300829.908959,1004.096921,0.477546,1,6,1,0.001926
4,93118.000000,6882.000000,43,67862.117789,2446927.978767,1023.695886,0.536469,1,6,1,0.001641
5,80909.000000,19091.000000,33,69295.472947,2322236.266187,1135.541735,0.439513,1,6,1,0.002513
6,88318.000000,11682.000000,40,68454.452590,2916133.548964,982.884805,0.542275,1,6,1,0.002082
7,87860.000000,12140.000000,40,67976.418591,2962923.220744,1043.425291,0.567212,1,6,1,0.002640
8,87667.000000,12333.000000,41,67548.791837,2155677.884560,963.022919,0.576493,1,6,2,0.002784
9,85574.000000,14426.000000,34,64302.148077,1519891.120002,1044.935981,0.543557,1,6,1,0.002844
10,79829.000000,20171.000000,31,68468.287391,1658076.706621,1183.936789,0.379125,1,6,1,0.002648
11,93416.000000,6584.000000,41,66842.391437,1305910.789461,949.985672,0.596680,1,6,1,0.002219
12,88178.000000,11822.000000,38,67500.409163,2604862.915406,1025.736723,0.472738,1,6,1,0.001504
13,87941.000000,12059.000000,39,66844.528841,3521358.278767,968.665021,0.543880,1,5,1,0.003050
14,87573.000000,12427.000000,38,67315.102157,1837928.136988,1040.392577,0.546427,1,5,2,0.003843
15,84747.000000,15253.000000,36,67693.132927,4628528.706377,1154.991853,0.343541,1,5,1,0.005714
16,85210.000000,14790.000000,33,65518.553562,2533057.053236,1027.930448,0.492292,1,5,1,0.003752
17,77318.000000,22682.000000,30,67175.306095,4607300.305776,1091.200163,0.518526,1,5,1,0.002517
18,81518.000000,18482.000000,33,67849.320411,5889948.286412,1293.459792,0.359632,1,5,1,0.002051
19,77498.000000,22502.000000,33,65694.197031,1689078.267793,1173.488100,0.406124,1,5,1,0.004422
20,64439.000000,35561.000000,19,61169.409656,4333581.011715,1259.497328,0.404726,1,5,1,0.004469
21,100000.000000,1.000000,50,65059.410427,906253.512111,890.500391,0.654900,1,5,1,0.005461
22,76592.000000,23408.000000,32,66739.097371,4908932.939299,1126.450767,0.496826,1,8,1,0.000795
23,80579.000000,19421.000000,31,63258.483472,2510630.458916,1007.614646,0.608935,1,8,1,0.001679
