generation,prey_fitness,predator_fitness,num_alive_end,avg_bb_size,var_bb_size,avg_shortest_dist,swarm_density_count,prey_neurons_connected_prey_retina,prey_neurons_connected_predator_retina,predator_neurons_connected_prey_retina,mutual_info
1,56999.000000,23001.000000,20,165444.115350,3537120341.606324,2637.516243,1.390386,0,1,1,0.080053
1,54398.000000,25602.000000,16,177832.258492,4937353623.212718,4615.978230,1.505148,0,1,1,0.033002
2,60269.000000,19731.000000,19,178900.225082,4080592125.921686,3233.685343,1.492833,0,1,1,0.022411
3,58845.000000,21155.000000,19,168064.837933,3276811318.014422,2554.099569,1.471852,0,1,1,0.042111
