generation,prey_fitness,predator_fitness,num_alive_end,avg_bb_size,var_bb_size,avg_shortest_dist,swarm_density_count,prey_neurons_connected_prey_retina,prey_neurons_connected_predator_retina,predator_neurons_connected_prey_retina,mutual_info
1,57355.000000,42645.000000,11,46555.178078,338761558.248362,1061.618151,0.510058,4,7,1,0.003544
1,59521.000000,40479.000000,9,50668.027768,222362416.421056,1127.180036,0.478237,4,7,1,0.003602
2,60542.000000,39458.000000,11,58543.215963,54283065.239116,1315.433800,0.407745,4,7,1,0.002697
3,69309.000000,30691.000000,22,58448.844863,57041139.727088,1215.245632,0.521273,4,7,1,0.002143
4,66392.000000,33608.000000,18,51895.529314,112308098.273270,1030.146505,0.666415,4,7,1,0.002316
5,53623.000000,46377.000000,7,45287.623404,206692566.714672,1329.048367,0.374890,4,7,1,0.004043
6,90408.000000,9592.000000,43,65605.359050,2274477.383883,929.838215,0.582883,4,8,0,0.002517
7,66712.000000,33288.000000,19,56448.648956,72400391.796809,1137.619248,0.515721,4,8,1,0.002642
8,68480.000000,31520.000000,20,58471.848535,49593244.095017,1140.817050,0.450077,4,8,1,0.004564
9,56673.000000,43327.000000,9,45054.395336,321274435.859946,1124.536568,0.636829,4,8,1,0.004081
10,59404.000000,40596.000000,10,53210.808015,92226699.828977,1237.399940,0.443732,3,9,1,0.004202
11,67962.000000,32038.000000,23,56404.391492,44817762.863978,1023.028507,0.695937,3,9,1,0.003106
12,61596.000000,38404.000000,19,48853.485659,190223458.349665,1043.955421,0.623124,3,9,1,0.003439
13,65440.000000,34560.000000,19,56817.491787,58699415.980117,972.743921,0.664528,3,9,1,0.004664
14,75895.000000,24105.000000,33,61649.757987,9258920.424698,965.361212,0.562574,3,9,1,0.002542
15,63693.000000,36307.000000,16,53116.502039,114173977.376381,1044.178417,0.553261,3,9,1,0.003714
16,55552.000000,44448.000000,5,40534.843149,395343231.757921,977.799827,0.625239,3,9,1,0.003265
17,79339.000000,20661.000000,26,62070.651764,40992820.064801,994.416041,0.668692,2,8,2,0.004050
18,68382.000000,31618.000000,20,56497.853430,64602997.542456,1134.399666,0.525053,2,8,1,0.003875
19,83376.000000,16624.000000,33,66563.044396,3403974.141283,1012.110464,0.640976,2,8,1,0.003085
20,77293.000000,22707.000000,26,203931.518064,2206505772.011902,2786.980641,0.865443,2,8,1,0.032496
21,72889.000000,27111.000000,25,209337.435339,1901604153.177129,2848.567317,0.484056,2,8,1,0.018554
22,76965.000000,23035.000000,28,220586.596418,2125158100.487004,2856.607097,0.554566,2,8,1,0.013706
23,77278.000000,22722.000000,26,225444.425081,1606838771.818020,2281.806631,0.614452,2,8,1,0.011856
24,84581.000000,15419.000000,35,222719.975623,2086377498.589418,2529.853770,0.632135,2,8,1,0.013002
25,78153.000000,21847.000000,30,205923.051633,1534495671.586517,2281.234147,0.586304,2,8,1,0.015406
26,84771.000000,15229.000000,35,223862.464463,2017920005.445131,2627.557733,0.516238,2,8,1,0.015769
27,84741.000000,15259.000000,32,227592.852072,1703250796.640890,2581.318455,0.550830,2,8,1,0.012307
28,75677.000000,24323.000000,27,210776.389055,1766120873.831794,2867.023989,0.495802,2,8,1,0.011930
29,82041.000000,17959.000000,33,225718.416662,1878807567.688748,2520.100309,0.527595,2,8,1,0.014113
30,78946.000000,21054.000000,29,219496.276329,1776270723.231468,2537.132562,0.525035,2,8,1,0.010867
31,79320.000000,20680.000000,30,233042.921682,1877553245.188164,2884.168440,0.442813,3,7,1,0.018297
