generation,prey_fitness,predator_fitness,num_alive_end,avg_bb_size,var_bb_size,avg_shortest_dist,swarm_density_count,prey_neurons_connected_prey_retina,prey_neurons_connected_predator_retina,predator_neurons_connected_prey_retina,mutual_info
1,39966.000000,10034.000000,13,177970.555526,5121372912.353291,5510.968162,0.932580,0,1,1,0.020310
1,41685.000000,8315.000000,18,199267.421004,6589068637.391705,3868.800270,1.049275,0,1,1,0.018196
2,33595.000000,16405.000000,11,176678.963215,6363205795.065171,7595.006588,1.025652,0,1,1,0.027517
3,36877.000000,13123.000000,12,195149.051471,5994941701.992557,6161.574214,0.915656,0,1,1,0.031609
