generation,prey_fitness,predator_fitness,num_alive_end,avg_bb_size,var_bb_size,avg_shortest_dist,swarm_density_count,prey_neurons_connected_prey_retina,prey_neurons_connected_predator_retina,predator_neurons_connected_prey_retina,mutual_info
1,25926.000000,24074.000000,2,28721.653772,164322724.115803,3169.882750,1.882546,3,0,1,0.064613
1,24305.000000,25695.000000,2,31805.709252,210571600.647729,4743.416976,1.726946,3,0,1,0.055451
2,26395.000000,23605.000000,2,49953.439256,497559043.919733,9190.697126,1.683557,3,0,1,0.055026
3,25477.000000,24523.000000,4,26125.552766,375258640.786614,1056.553223,1.886897,3,0,1,0.051029
