generation,prey_fitness,predator_fitness,num_alive_end,avg_bb_size,var_bb_size,avg_shortest_dist,swarm_density_count,prey_neurons_connected_prey_retina,prey_neurons_connected_predator_retina,predator_neurons_connected_prey_retina,mutual_info,num_attacks
1102,76109.000000,23891.000000,25,220963.254677,1882012319.818556,2172.775894,0.677495,3,1,1,0.020833,1750
1103,73153.000000,26847.000000,23,218425.502468,1286239528.744320,2653.800351,0.719083,3,1,1,0.031935,1730
1104,79181.000000,20819.000000,28,220850.795525,1429499318.744655,2233.449580,0.734471,3,1,1,0.024461,1787
1105,77286.000000,22714.000000,28,213903.118136,1240543987.681244,2187.066018,0.942510,3,1,4,0.019204,1780
1106,72798.000000,27202.000000,20,224499.262422,1130018601.796145,2957.443936,0.636904,3,1,2,0.024586,1700
1107,68543.000000,31457.000000,19,223341.425583,1576659520.993347,2229.789623,0.833031,3,1,1,0.027585,1690
1108,68702.000000,31298.000000,22,220061.775188,2312117993.402948,2969.866056,0.772240,3,1,2,0.023767,1720
1109,70922.000000,29078.000000,19,226558.508267,1690661419.269738,3259.192587,0.839094,3,1,2,0.023521,1690
1110,74215.000000,25785.000000,24,226208.861633,1625038886.926907,2690.867990,0.980098,3,1,1,0.029622,1740
1111,68127.000000,31873.000000,18,211592.879519,1409143614.359274,2600.323656,0.725211,3,1,1,0.022722,1680
1112,70648.000000,29352.000000,20,211744.644121,2254954387.979816,3089.954502,0.715549,3,1,1,0.019956,1706
1113,83604.000000,16396.000000,30,225869.665830,1467298803.480305,2257.019795,0.810747,3,1,1,0.013290,1800
1114,74356.000000,25644.000000,20,228399.804730,1420273750.891537,2267.477825,0.858148,3,1,1,0.019567,1706
1115,71722.000000,28278.000000,23,201261.464452,1021586151.977655,2422.401609,0.812076,3,1,1,0.016017,1730
1116,81556.000000,18444.000000,31,180361.278816,1373185075.168213,1718.898266,1.356496,3,1,1,0.020274,1810
1117,89130.000000,10870.000000,39,219243.539685,1271352648.134918,1920.236307,1.112474,3,1,2,0.018953,1890
1118,68110.000000,31890.000000,19,182457.050084,1997741957.151972,2176.809741,0.845109,3,1,2,0.022096,1690
1119,77776.000000,22224.000000,27,205333.092354,1752551475.123210,2094.976627,0.815760,3,1,1,0.020361,1770
1120,78727.000000,21273.000000,29,201068.121336,1413942785.476328,1993.682439,1.108055,3,1,1,0.015669,1790
1121,70588.000000,29412.000000,23,197373.348140,1393075658.653748,2382.809662,0.733069,3,1,1,0.033631,1730
1122,72482.000000,27518.000000,23,198351.988578,1452557253.937986,2253.441713,0.798344,3,1,1,0.022051,1730
1123,70028.000000,29972.000000,20,210149.992620,991500847.930505,2520.131514,0.681499,3,1,1,0.017096,1700
1124,77791.000000,22209.000000,27,218822.231356,765860818.004133,2602.754377,0.778908,3,1,1,0.019898,1770
1125,97749.000000,2251.000000,46,222962.390769,1265796610.239990,1717.739238,0.875301,3,1,1,0.004528,1960
1126,73231.000000,26769.000000,26,195372.271937,1348275580.569463,2236.363886,0.858885,3,1,1,0.024591,1760
1127,68504.000000,31496.000000,19,203458.009912,1721335200.615319,2206.073732,0.769614,3,1,1,0.028872,1695
1128,74153.000000,25847.000000,23,196008.344973,1160199097.701867,2735.370764,1.001920,3,1,1,0.018691,1730
1129,70086.000000,29914.000000,24,185834.611723,2075792541.934919,2300.329716,0.859766,3,1,1,0.024200,1740
1130,79705.000000,20295.000000,27,218049.962732,1110676678.924411,2507.410976,0.798106,3,1,1,0.020450,1770
1131,73919.000000,26081.000000,24,206859.024146,1087900108.246677,2427.239155,0.690271,3,1,1,0.027028,1747
1132,79141.000000,20859.000000,28,216281.887629,1455929968.175279,2563.764918,0.898498,3,1,1,0.021468,1780
1133,74767.000000,25233.000000,22,230838.492447,1475200562.426193,3199.701632,0.744196,3,2,2,0.023026,1720
1134,71348.000000,28652.000000,19,232108.953242,1010323621.607956,3053.214416,0.669106,3,2,1,0.017447,1690
1135,67764.000000,32236.000000,17,228931.789089,1508589541.612992,2730.132329,0.681342,3,2,1,0.020613,1670
1136,66559.000000,33441.000000,17,219215.282825,1792352753.382404,3742.292009,0.600533,3,2,1,0.029733,1670
1137,66562.000000,33438.000000,20,222512.874810,1812522082.382382,3261.491862,0.513693,3,2,1,0.018764,1700
1138,67336.000000,32664.000000,17,228368.736993,1309237592.588133,4015.345457,0.619799,3,2,1,0.023252,1670
1139,62385.000000,37615.000000,14,228637.282127,1691505942.874085,4065.006145,0.507719,3,2,1,0.026562,1649
1140,73577.000000,26423.000000,23,182395.109652,1574098706.881653,3023.285588,0.777569,3,2,1,0.028189,1730
1141,72252.000000,27748.000000,23,188144.474446,966804631.540345,1809.394766,0.731007,3,2,2,0.019397,1730
1142,71572.000000,28428.000000,19,222562.814184,936152351.111475,2276.364375,0.616896,3,2,1,0.021111,1690
1143,83732.000000,16268.000000,35,226342.108797,1218250351.384264,2106.729707,0.583966,3,2,2,0.008421,1850
1144,67464.000000,32536.000000,19,199723.541769,1019053250.821293,2436.266797,0.623805,3,2,1,0.035825,1690
1145,97938.000000,2062.000000,47,219152.004565,1186736605.613684,1684.097371,0.938780,3,2,1,0.014097,1970
1146,77497.000000,22503.000000,27,193781.936247,1009441520.274293,2087.294974,0.738553,3,2,1,0.014529,1773
1147,67065.000000,32935.000000,17,181652.712998,1268470952.613454,2177.191075,0.721173,3,2,1,0.019383,1670
1148,69524.000000,30476.000000,16,196609.116133,1370175259.641209,2806.373538,0.673758,3,2,2,0.017060,1670
1149,68932.000000,31068.000000,23,193140.349490,1288918639.609194,2453.000137,0.771029,3,2,1,0.017199,1730
1150,77209.000000,22791.000000,25,207213.010934,1153507855.213505,2239.173389,0.595101,3,2,2,0.022389,1750
1151,85309.000000,14691.000000,37,231281.873133,1336097692.559922,2226.103825,0.697204,3,2,1,0.008537,1870
1152,67204.000000,32796.000000,19,204843.975639,1410640887.107611,2566.819815,0.533723,3,2,2,0.015788,1698
1153,66616.000000,33384.000000,18,189927.040230,697016210.638143,1905.936652,0.685757,3,2,2,0.018485,1680
1154,69100.000000,30900.000000,20,201295.520840,1556731065.934092,2546.722469,0.559981,3,2,1,0.022083,1700
1155,97391.000000,2609.000000,47,232499.751134,1577944604.821880,1794.174974,0.716024,3,2,0,0.000000,1970
1156,61379.000000,38621.000000,15,179278.259218,1624288058.282322,2981.526105,0.770592,3,2,1,0.013038,1652
1157,82296.000000,17704.000000,32,225035.710694,1059032831.265550,2166.112889,0.596049,3,2,1,0.015370,1820
1158,75265.000000,24735.000000,22,145260.142696,367749356.561726,1624.694124,1.041750,3,2,1,0.013504,1720
1159,69845.000000,30155.000000,19,166145.074003,776071051.180146,2303.608965,1.007531,3,2,1,0.017596,1691
1160,75099.000000,24901.000000,24,131234.553693,654051690.403641,1242.980704,1.433339,3,2,1,0.023513,1740
1161,67321.000000,32679.000000,17,89435.671773,1787207466.017262,940.677910,1.435083,3,2,1,0.011530,1670
1162,69746.000000,30254.000000,19,80622.299971,517782197.227634,1001.933374,1.520085,3,2,1,0.013745,1690
1163,73602.000000,26398.000000,22,163222.379245,280501321.334768,1814.862647,0.881143,3,2,1,0.024375,1720
1164,69747.000000,30253.000000,20,128486.052170,782740075.384409,1456.132800,1.165152,3,2,1,0.019260,1705
1165,69931.000000,30069.000000,20,132702.720980,918962665.191571,1781.298211,1.179871,3,2,1,0.022676,1700
