generation,prey_fitness,predator_fitness,num_alive_end,avg_bb_size,var_bb_size,avg_shortest_dist,swarm_density_count,prey_neurons_connected_prey_retina,prey_neurons_connected_predator_retina,predator_neurons_connected_prey_retina,mutual_info
1,89752.000000,10248.000000,41,8566.610443,6394499.530342,45.538503,16.516988,2,1,2,0.026213
1,92787.000000,7213.000000,43,7636.285668,8231423.081305,41.891326,17.953687,2,1,2,0.023222
2,87349.000000,12651.000000,34,7016.732411,12054560.704071,41.293240,18.500225,2,1,2,0.018723
3,82378.000000,17622.000000,30,6568.467048,6527886.127092,44.205939,17.494770,2,1,2,0.024314
