generation,prey_fitness,predator_fitness,num_alive_end,avg_bb_size,var_bb_size,avg_shortest_dist,swarm_density_count,prey_neurons_connected_prey_retina,prey_neurons_connected_predator_retina,predator_neurons_connected_prey_retina,mutual_info,num_attacks
1,57859.000000,42141.000000,12,54369.671269,80899412.481454,1609.108899,0.000000,2,4,1,0.004380,38
1,58589.000000,41411.000000,11,52300.501838,51128684.664493,1454.198261,0.000000,2,4,1,0.003207,39
2,55676.000000,44324.000000,10,49149.503382,198104503.380347,1258.452964,0.000000,2,4,1,0.004124,40
3,62949.000000,37051.000000,13,52163.750702,93596624.975863,1193.964595,0.000000,2,4,1,0.006701,37
4,56320.000000,43680.000000,10,48508.919228,114050050.441972,1211.756473,0.000000,2,4,1,0.003693,40
5,100000.000000,1.000000,50,62870.590579,0.000000,1079.854053,0.000000,1,3,1,0.000000,0
6,59033.000000,40967.000000,9,47080.536079,326135261.904343,1243.691313,0.000000,1,3,1,0.003150,41
7,56324.000000,43676.000000,8,49449.759766,165787622.430499,1511.958585,0.000000,1,3,1,0.004168,42
8,54121.000000,45879.000000,9,48671.986873,121607808.201668,1734.090204,0.000000,1,3,1,0.005321,41
9,63025.000000,36975.000000,17,57564.804434,28683476.891831,1453.277649,0.000000,1,3,1,0.003957,33
10,67549.000000,32451.000000,17,61659.368993,3709999.639988,1322.333614,0.000000,1,3,1,0.001450,33
11,61093.000000,38907.000000,7,49199.998676,183187887.012245,1319.634868,0.000000,1,3,1,0.006064,43
12,100000.000000,1.000000,50,63241.084024,0.000000,1168.913158,0.000000,1,3,0,0.000000,0
13,61805.000000,38195.000000,16,55514.207827,58189171.384526,1244.759874,0.000000,1,3,1,0.009900,34
14,69083.000000,30917.000000,15,49146.239280,199403499.306360,1109.521954,0.000000,1,3,3,0.002055,35
15,65878.000000,34122.000000,16,57573.173535,18880507.183802,1403.391071,0.000000,1,3,1,0.003687,34
16,92458.000000,7542.000000,42,63748.303877,0.000000,1186.415479,0.000000,1,3,3,0.000230,8
17,61643.000000,38357.000000,15,58521.818897,29982619.641303,1307.278660,0.000000,1,3,2,0.004116,35
18,71892.000000,28108.000000,16,58661.658779,15704982.069687,1221.034461,0.000000,1,3,2,0.002743,34
19,56326.000000,43674.000000,3,44610.809403,379543073.619109,1342.882346,0.000000,1,3,2,0.006183,47
20,44059.000000,55941.000000,2,33079.659309,458145792.751778,1420.923427,0.000000,1,3,2,0.003382,48
21,62463.000000,37537.000000,18,53991.572176,94404259.358724,1228.818963,0.000000,1,3,1,0.012047,32
22,67855.000000,32145.000000,18,53686.199389,76901729.272927,1280.387407,0.000000,1,3,1,0.002738,32
23,60477.000000,39523.000000,10,49763.566313,174301526.486785,1486.446907,0.000000,1,3,2,0.001806,40
24,55145.000000,44855.000000,10,42400.516620,207874205.100533,1258.125361,0.000000,1,3,1,0.003921,40
25,55205.000000,44795.000000,7,44035.239925,331562017.405852,1127.433296,0.000000,1,3,2,0.005024,43
26,42921.000000,57079.000000,2,30433.968053,520404419.102516,1509.282438,0.000000,1,2,2,0.007575,48
27,58128.000000,41872.000000,11,56606.599132,72351621.411848,1533.603260,0.000000,1,2,1,0.007807,39
28,66313.000000,33687.000000,12,51381.642472,144604549.485380,1259.377076,0.000000,1,2,1,0.006803,38
29,53634.000000,46366.000000,5,40750.558991,274037118.366356,1223.436744,0.000000,1,2,1,0.006316,45
30,58576.000000,41424.000000,8,44815.323919,264554222.040427,1207.202992,0.000000,1,2,2,0.004886,42
