generation,prey_fitness,predator_fitness,num_alive_end,avg_bb_size,var_bb_size,avg_shortest_dist,swarm_density_count,prey_neurons_connected_prey_retina,prey_neurons_connected_predator_retina,predator_neurons_connected_prey_retina,mutual_info
1,4328.000000,5672.000000,2,2243.457313,3289910.340447,5761.337082,0.131500,1,1,1,0.145279
1,4485.000000,5515.000000,2,3925.260710,13362341.713297,13405.880819,0.119550,1,1,1,0.104522
2,4445.000000,5555.000000,2,1339.321126,1846924.702111,3450.545604,0.265000,1,1,1,0.103237
3,4947.000000,5053.000000,2,1965.239415,4459865.010961,4657.501330,0.437000,1,1,1,0.106589
