generation,prey_fitness,predator_fitness,num_alive_end,avg_bb_size,var_bb_size,avg_shortest_dist,swarm_density_count,prey_neurons_connected_prey_retina,prey_neurons_connected_predator_retina,predator_neurons_connected_prey_retina,mutual_info
1,52849.000000,27151.000000,14,64732.214407,887639264.303726,1611.803409,2.614198,3,2,1,0.016412
1,55287.000000,24713.000000,15,70061.130700,716609972.646946,1312.501184,2.432525,3,2,1,0.021624
2,46892.000000,33108.000000,10,53308.980841,563717181.729627,1432.037054,2.471267,3,2,1,0.021413
3,52546.000000,27454.000000,15,43593.699846,300610311.784281,1068.273049,2.808927,3,2,1,0.017120
