generation,prey_fitness,predator_fitness,num_alive_end,avg_bb_size,var_bb_size,avg_shortest_dist,swarm_density_count,prey_neurons_connected_prey_retina,prey_neurons_connected_predator_retina,predator_neurons_connected_prey_retina,mutual_info
1,57134.000000,2866.000000,27,1141.630255,258247.668173,10.549680,23.046108,2,1,1,0.007271
1,53727.000000,6273.000000,24,1137.368617,216483.159920,11.230123,21.594001,2,1,1,0.006318
2,56578.000000,3422.000000,26,1004.668764,163932.465148,8.698891,23.457408,2,1,1,0.011025
3,55689.000000,4311.000000,25,1199.756559,253768.847396,10.494812,21.677511,2,1,1,0.010199
