generation,prey_fitness,predator_fitness,num_alive_end,avg_bb_size,var_bb_size,avg_shortest_dist,swarm_density_count,prey_neurons_connected_prey_retina,prey_neurons_connected_predator_retina,predator_neurons_connected_prey_retina,mutual_info
1,29505.000000,30495.000000,2,75184.777207,1196015453.353358,7137.507396,1.137907,0,1,1,0.037495
1,34293.000000,25707.000000,4,117715.686243,1935994938.473254,8460.756946,1.091384,0,1,1,0.037771
2,29558.000000,30442.000000,4,120137.696380,2970644050.052183,7096.853297,0.955881,0,1,1,0.041608
3,34160.000000,25840.000000,3,138227.448303,3002237704.291327,9525.551518,0.983864,0,1,1,0.040548
