generation,prey_fitness,predator_fitness,num_alive_end,avg_bb_size,var_bb_size,avg_shortest_dist,swarm_density_count,prey_neurons_connected_prey_retina,prey_neurons_connected_predator_retina,predator_neurons_connected_prey_retina,mutual_info
1,39222.000000,10778.000000,13,2734.093851,1595216.258829,34.502467,10.550387,1,0,1,0.025491
1,40824.000000,9176.000000,16,2627.602021,953656.382568,32.312976,11.826672,1,0,1,0.030542
2,35531.000000,14469.000000,7,2477.207094,1239033.735273,43.326853,9.955034,1,0,1,0.014138
3,38078.000000,11922.000000,10,2354.267785,952695.601789,37.631451,10.783813,1,0,1,0.026005
