generation,prey_fitness,predator_fitness,num_alive_end,avg_bb_size,var_bb_size,avg_shortest_dist,swarm_density_count,prey_neurons_connected_prey_retina,prey_neurons_connected_predator_retina,predator_neurons_connected_prey_retina,mutual_info
1,49990.000000,50010.000000,5,51054.595597,99858374.350096,2052.499084,0.000000,4,4,1,0.008749
1,62318.000000,37682.000000,17,53078.495515,81490021.148202,1175.865216,0.000000,4,4,1,0.005071
2,55258.000000,44742.000000,12,47508.103477,162393673.405080,1443.272621,0.000000,4,4,1,0.001647
3,59927.000000,40073.000000,11,49002.161368,209513055.777132,1186.742187,0.000000,4,4,1,0.004722
4,60323.000000,39677.000000,13,48006.757669,88417289.150986,1268.735196,0.000000,3,5,1,0.002633
5,59224.000000,40776.000000,9,48736.565133,173684933.748741,1421.382585,0.000000,3,6,1,0.003543
6,61008.000000,38992.000000,12,60614.219869,8487593.239911,1962.442511,0.000000,3,6,1,0.002056
7,57289.000000,42711.000000,11,48460.315845,84942364.294021,1376.625378,0.000000,3,6,1,0.003401
8,56142.000000,43858.000000,10,49761.911934,110891325.700916,1699.388797,0.000000,3,6,1,0.003442
9,58747.000000,41253.000000,18,56938.677137,51989075.733979,1574.417605,0.000000,3,6,1,0.003420
10,55668.000000,44332.000000,10,55107.386107,50224231.316196,1495.259354,0.000000,3,6,1,0.004222
11,65501.000000,34499.000000,14,51627.557052,122964363.371462,1241.992318,0.000000,3,5,1,0.002357
12,60931.000000,39069.000000,18,62777.697612,1561801.475207,1595.000708,0.000000,3,5,1,0.005272
13,62768.000000,37232.000000,13,50715.450860,112300986.175879,1166.567366,0.000000,3,5,1,0.005183
14,64016.000000,35984.000000,13,51985.955225,137723917.490599,1265.022522,0.000000,3,5,1,0.003764
15,66809.000000,33191.000000,22,61381.403622,139312.692462,1247.789727,0.000000,1,4,1,0.004368
16,51695.000000,48305.000000,7,49827.128369,137886767.051616,1350.198925,0.000000,1,4,1,0.008264
17,53934.000000,46066.000000,5,51196.711630,159269429.755343,1994.594072,0.000000,1,4,1,0.002970
18,59747.000000,40253.000000,9,57267.511272,46438648.230955,1332.176385,0.000000,1,4,1,0.005852
19,48816.000000,51184.000000,4,47841.494008,165677385.196033,1871.895999,0.000000,1,4,1,0.003069
20,49362.000000,50638.000000,7,47395.744357,105442989.285747,2152.054457,0.000000,1,4,1,0.008300
21,45429.000000,54571.000000,2,37583.998077,516898978.198446,1786.222602,0.000000,1,4,1,0.009034
22,68403.000000,31597.000000,14,52138.332998,83728633.584218,1139.046197,0.000000,2,4,1,0.002947
23,45434.000000,54566.000000,2,32103.401707,545831581.941322,1186.446840,0.000000,2,4,1,0.008542
24,43654.000000,56346.000000,2,40816.942541,223372331.683969,3910.380873,0.000000,2,4,1,0.013975
25,56308.000000,43692.000000,6,53974.421936,79112928.776964,1694.359792,0.000000,2,4,1,0.004733
26,67268.000000,32732.000000,21,60665.743463,2066691.632829,1447.463240,0.000000,2,4,1,0.003108
27,57901.000000,42099.000000,9,46712.868534,222467314.137202,1230.679550,0.000000,2,4,1,0.003308
28,100000.000000,1.000000,50,64918.581042,0.000000,1092.440353,0.000000,2,4,1,-0.000000
29,51741.000000,48259.000000,2,36780.912002,574861086.679906,1368.267934,0.000000,2,4,1,0.002909
30,59762.000000,40238.000000,13,52147.091400,93006397.559307,1508.239117,0.000000,2,4,1,0.003263
31,78549.000000,21451.000000,28,63569.289610,0.000000,1190.707209,0.000000,2,4,1,0.000499
32,61334.000000,38666.000000,8,50800.475417,141827986.815071,1230.322551,0.000000,2,4,2,0.002930
33,46197.000000,53803.000000,2,31058.213063,483668210.181018,1213.643548,0.000000,2,4,1,0.003283
34,49268.000000,50732.000000,2,36539.658707,548607624.282780,1184.328493,0.000000,3,3,1,0.003007
35,51579.000000,48421.000000,2,36181.154048,455716759.164514,1184.055645,0.000000,3,2,1,0.007098
36,64176.000000,35824.000000,15,54194.650499,50834773.628157,1286.860982,0.000000,3,2,1,0.002167
