generation,prey_fitness,predator_fitness,num_alive_end,avg_bb_size,var_bb_size,avg_shortest_dist,swarm_density_count,prey_neurons_connected_prey_retina,prey_neurons_connected_predator_retina,predator_neurons_connected_prey_retina,mutual_info
1,78153.000000,21847.000000,26,44522.528609,286844716.598810,528.100623,4.364347,5,3,1,0.006884
1,72014.000000,27986.000000,27,28308.904578,501883535.555376,285.207193,5.650318,5,3,1,0.009998
2,70961.000000,29039.000000,23,35486.419801,639776245.490710,389.747487,4.654415,5,3,1,0.010129
3,87375.000000,12625.000000,34,235002.669107,1719659007.756433,2235.508985,0.535121,5,3,1,0.015913
4,77724.000000,22276.000000,32,156489.642863,1433143813.146210,1965.150606,0.723083,7,3,1,0.010092
5,84203.000000,15797.000000,37,164574.280680,1336353229.117628,1642.187052,0.693971,7,3,1,0.006337
6,81824.000000,18176.000000,34,159827.583899,2361623381.102676,1914.401273,0.629191,7,3,1,0.006065
7,83743.000000,16257.000000,34,168279.613041,2141625029.841263,1913.777635,0.745419,7,3,1,0.012235
8,72826.000000,27174.000000,28,166032.725213,1953665791.936873,2258.754781,0.674403,7,3,1,0.010803
9,87205.000000,12795.000000,38,171894.284674,1683028171.017609,1742.936167,0.588870,7,3,1,0.006716
10,81467.000000,18533.000000,34,164693.907593,1260352966.372454,2011.210893,0.633323,7,3,1,0.006153
11,81253.000000,18747.000000,35,166150.318081,1454756060.783796,1841.847203,0.570260,7,3,3,0.006844
12,93956.000000,6044.000000,46,153941.532615,995588409.994094,1532.860951,0.796288,7,3,1,0.004119
13,81227.000000,18773.000000,31,159707.007956,1843067044.959276,1980.666252,0.568724,7,4,1,0.011721
14,77059.000000,22941.000000,29,159401.934062,1307967003.294673,2091.445569,0.583306,7,4,1,0.005418
15,97101.000000,2899.000000,46,188907.119812,2287196014.729621,1589.178183,0.632467,7,4,0,-0.000000
16,77428.000000,22572.000000,34,162529.353087,1689489356.052134,1985.952392,0.599485,7,4,1,0.008629
17,85469.000000,14531.000000,35,157881.514522,1177322526.880043,1653.240465,0.731008,7,4,1,0.006388
18,82293.000000,17707.000000,34,155952.580825,1362974385.744045,1941.257786,0.661870,7,4,2,0.006297
19,84652.000000,15348.000000,35,150841.822955,877201714.776491,1641.710150,0.673177,7,4,2,0.007252
